144# Number of sensors
#x	z
58	74	54	70	11.82	0.030846
58	74	70	53	-9.64	0.0310373
58	74	53	69	6.7	0.0314925
58	74	69	52	-5.69	0.0317575
58	74	52	68	4.67	0.0321413
58	74	68	51	-3.96	0.0325253
58	74	51	67	3.4	0.0329412
58	74	67	50	-3.13	0.0331949
58	74	50	66	2.85	0.0335088
58	74	66	49	-2.67	0.0337453
57	73	56	72	90.83	0.0301101
57	73	72	55	-70.72	0.0301414
57	73	55	71	41.24	0.0302425
57	73	71	54	-30.91	0.0303235
57	73	54	70	21.1	0.0304739
57	73	70	53	-16.73	0.0305977
57	73	53	69	12.22	0.0308183
57	73	69	52	-10.19	0.0309814
57	73	52	68	7.33	0.0313643
57	73	68	51	-6.08	0.0316447
57	73	51	67	5.09	0.0319646
57	73	67	50	-4.64	0.0321552
57	73	50	66	4.15	0.0324096
57	73	66	49	-3.87	0.032584
57	73	49	65	3.69	0.03271
56	72	55	71	94.78	0.0301055
56	72	71	54	-72.3	0.0301383
56	72	54	70	40.04	0.0302498
56	72	70	53	-31.78	0.0303147
56	72	53	69	20.97	0.0304769
56	72	69	52	-17.22	0.0305807
56	72	52	68	13.05	0.0307663
56	72	68	51	-10.62	0.0309416
56	72	51	67	7.74	0.031292
56	72	67	50	-6.97	0.0314347
56	72	50	66	6.1	0.0316393
56	72	66	49	-5.66	0.0317668
56	72	49	65	5.35	0.0318692
55	71	54	70	105.87	0.0300945
55	71	70	53	-76.71	0.0301304
55	71	53	69	42.68	0.0302343
55	71	69	52	-33.19	0.0303013
55	71	52	68	23.52	0.0304252
55	71	68	51	-18.27	0.0305473
55	71	51	67	14.23	0.0307027
55	71	67	50	-12.52	0.0307987
55	71	50	66	9.63	0.0310384
55	71	66	49	-8.8	0.0311364
55	71	49	65	8.24	0.0312136
54	70	53	69	108.02	0.0300926
54	70	69	52	-79.59	0.0301256
54	70	52	68	46.77	0.0302138
54	70	68	51	-34.62	0.0302889
54	70	51	67	24.83	0.0304027
54	70	67	50	-21.31	0.0304693
54	70	50	66	17.49	0.0305718
54	70	66	49	-15.8	0.0306329
54	70	49	65	12.97	0.030771
53	69	52	68	120.89	0.0300827
53	69	68	51	-83.96	0.0301191
53	69	51	67	48.29	0.0302071
53	69	67	50	-40.15	0.0302491
53	69	50	66	30.47	0.0303282
53	69	66	49	-27.03	0.03037
53	69	49	65	24.14	0.0304143
52	68	51	67	112.34	0.030089
52	68	67	50	-89.16	0.0301122
52	68	50	66	55.94	0.0301788
52	68	66	49	-48.49	0.0302062
52	68	49	65	41.16	0.030243
80	96	79	95	38.22	0.0302616
80	96	95	78	-28.21	0.0303545
80	96	78	94	15.37	0.0306506
80	96	94	77	-11.65	0.0308584
80	96	77	93	7.36	0.0313587
80	96	93	76	-5.97	0.031675
80	96	76	92	4.1	0.032439
80	96	92	75	-3.4	0.0329412
80	96	75	91	2.46	0.034065
80	96	91	74	-2.09	0.0347847
80	96	74	90	1.57	0.0363694
80	96	90	73	-1.36	0.0373529
80	96	73	89	1.05	0.0395238
80	96	89	72	-0.93	0.0407527
80	96	72	88	0.74	0.0435135
80	96	88	71	-0.67	0.0449254
79	95	78	94	83.69	0.0301195
79	95	94	77	-55.31	0.0301808
79	95	77	93	29.62	0.0303376
79	95	93	76	-22.25	0.0304494
79	95	76	92	14.25	0.0307018
79	95	92	75	-11.13	0.0308985
